Query_id	Query_length	Query_start	Query_end	Subject_id	Subject_length	Subject_start	Subject_end	Identity	Positive	Gap	Align_length	Score	E_value	Query_annotation	Subject_annotation
ZS_10_C3564406_1	807	5	712	TnAs2	8650	5747	5040	0.9	--	0	708	880	0.0	length=807 	Family:Tn3
ZS_10_C3569044_1	879	1	879	TnShfr1	5131	3465	4343	0.9	--	0	879	1061	0.0	length=879 	Family:Tn3
ZS_10_C3569902_1	895	789	853	ISPpa8	1050	1	65	1	--	0	65	129	7e-30	length=895 	Family:IS5
ZS_10_C3571798_1	934	490	539	ISPfr12	1350	753	802	0.9	--	0	50	60.0	6e-09	length=934 	Family:IS3
ZS_10_C3572156_1	942	48	942	ISPpa8	1050	941	47	1	--	0	895	1774	0.0	length=942 	Family:IS5
ZS_10_C3572246_1	944	544	608	IS1479	1154	536	600	0.92	--	0	65	89.7	6e-18	length=944 	Family:IS5
ZS_10_C3575028_1	1013	1	1013	ISEnfa4	1324	312	1324	1	--	0	1013	2008	0.0	length=1013 	Family:IS256
ZS_10_C3576894_1	1072	1	1072	IS612	1598	441	1512	0.99	--	0	1072	2077	0.0	length=1072 	Family:IS1380
ZS_10_C3577150_1	1078	1	1078	ISPam3	1197	1078	1	0.9	--	0	1078	1289	0.0	length=1078 	Family:IS3
ZS_10_C3580548_1	1229	638	707	ISPsp3	1190	600	531	0.91	--	0	70	91.7	2e-18	length=1229 	Family:IS5
ZS_10_C3581090_1	1259	413	478	ISXoo7	1157	614	549	0.92	--	0	66	91.7	2e-18	length=1259 	Family:IS5
ZS_10_scaffold10114_2	1037	419	469	ISXo4	1513	720	770	0.92	--	0	51	69.9	7e-12	length=1037 	Family:IS5
ZS_10_scaffold10776_2	590	1	588	ISMma13	1534	947	1534	1	--	0	588	1166	0.0	length=590 	Family:IS66
ZS_10_scaffold11785_2	1426	364	424	IS660	1963	1085	1145	0.9	--	0	61	73.8	6e-13	length=1426 	Family:IS1182
ZS_10_scaffold12249_2	920	425	510	ISAzs17	7252	3405	3320	0.95	--	0	86	139	8e-33	length=920 	Family:Tn3
ZS_10_scaffold12274_1	777	614	666	ISMysp7	1397	766	714	0.9	--	0	53	65.9	8e-11	length=777 	Family:IS256
ZS_10_scaffold126_5	894	1	894	ISCco2	7852	1526	2419	1	--	0	894	1772	0.0	length=894 	Family:IS1595
ZS_10_scaffold188_2	1247	1	402	TnAs3	18735	10714	10313	0.99	--	0	402	789	0.0	length=1247 	Family:Tn3
ZS_10_scaffold188_2	1247	1	402	TnAs3	18735	13873	13472	0.99	--	0	402	789	0.0	length=1247 	Family:Tn3
ZS_10_scaffold2051_1	561	33	106	ISShes11	7669	1987	1914	0.9	--	0	74	91.7	1e-18	length=561 	Family:Tn3
ZS_10_scaffold25034_1	1146	2	1146	ISMma22	1658	1658	514	0.98	--	0	1145	2198	0.0	length=1146 	Family:IS200/IS605
ZS_10_scaffold2558_2	1133	7	1133	TnAs3	18735	7307	6181	1	--	0	1127	2234	0.0	length=1133 	Family:Tn3
ZS_10_scaffold2966_2	1408	477	529	ISSau3	1946	1127	1075	0.9	--	0	53	65.9	1e-10	length=1408 	Family:IS1182
ZS_10_scaffold32209_1	567	425	476	IS1166	1469	482	533	0.96	--	0	52	87.7	2e-17	length=567 	Family:IS256
ZS_10_scaffold32209_1	567	48	98	IS1166	1469	100	150	0.92	--	0	51	69.9	4e-12	length=567 	Family:IS256
ZS_10_scaffold3280_2	901	371	429	ISPso1	1400	609	667	0.91	--	0	59	77.8	2e-14	length=901 	Family:IS256
ZS_10_scaffold34914_1	503	1	503	TnAs3	18735	7570	8072	1	--	0	503	997	0.0	length=503 	Family:Tn3
ZS_10_scaffold34972_1	800	317	366	ISAzs17	7252	2248	2297	0.9	--	0	50	60.0	5e-09	length=800 	Family:Tn3
ZS_10_scaffold35103_1	507	436	494	IS1408	1325	684	742	0.91	--	0	59	77.8	1e-14	length=507 	Family:IS256
ZS_10_scaffold35103_1	507	108	167	IS1408	1325	356	415	0.9	--	0	60	71.9	8e-13	length=507 	Family:IS256
ZS_10_scaffold35398_1	1049	4	1046	IS18	1074	32	1074	0.97	--	0	1043	1877	0.0	length=1049 	Family:IS30
ZS_10_scaffold37625_1	1374	4	57	ISMasp6	834	475	422	0.9	--	0	54	67.9	3e-11	length=1374 	Family:IS5
ZS_10_scaffold39295_1	603	546	599	ISCpe4	1655	1338	1391	0.94	--	0	54	83.8	2e-16	length=603 	Family:IS200/IS605
ZS_10_scaffold4003_1	874	288	337	ISGme2	1314	1046	997	0.9	--	0	50	60.0	5e-09	length=874 	Family:IS4
ZS_10_scaffold40053_1	1393	808	867	ISPhae1	1485	904	963	0.9	--	0	60	71.9	2e-12	length=1393 	Family:IS5
ZS_10_scaffold40252_1	857	695	812	ISPpa8	1050	1050	933	1	--	0	118	234	2e-61	length=857 	Family:IS5
ZS_10_scaffold41853_3	972	702	754	ISArsp6	26712	11587	11535	0.9	--	0	53	65.9	1e-10	length=972 	Family:Tn3
ZS_10_scaffold4216_4	1201	1	112	TnAs3	18735	14585	14696	1	--	0	112	222	9e-58	length=1201 	Family:Tn3
ZS_10_scaffold42654_1	1293	1	1293	TnAs3	18735	8527	9819	0.95	--	0	1293	2135	0.0	length=1293 	Family:Tn3
ZS_10_scaffold42777_1	544	20	544	ISMma11	1619	985	461	0.95	--	0	525	858	0.0	length=544 	Family:ISNCY
ZS_10_scaffold4351_1	590	163	215	ISGdi14	1318	268	320	0.92	--	0	53	73.8	2e-13	length=590 	Family:IS3
ZS_10_scaffold44197_1	1986	717	784	ISAs33	1239	1044	977	0.91	--	0	68	87.7	5e-17	length=1986 	Family:IS3
ZS_10_scaffold44479_1	778	304	369	ISPfr6	1436	779	844	0.92	--	0	66	91.7	1e-18	length=778 	Family:ISL3
ZS_10_scaffold45097_1	926	342	406	ISApr12	1524	565	501	0.92	--	0	65	89.7	6e-18	length=926 	Family:IS5
ZS_10_scaffold45201_1	1755	917	966	ISAzo39	1277	541	492	0.9	--	0	50	60.0	1e-08	length=1755 	Family:IS5
ZS_10_scaffold45970_2	541	36	541	IS1216V	809	279	784	1	--	0	506	1003	0.0	length=541 	Family:IS6
ZS_10_scaffold46368_1	720	1	720	TnAs3	18735	5458	4739	1	--	0	720	1427	0.0	length=720 	Family:Tn3
ZS_10_scaffold46546_1	1460	543	637	ISPfr18	1437	792	886	0.9	--	0	95	117	4e-26	length=1460 	Family:ISL3
ZS_10_scaffold46903_1	1612	710	764	ISAde2	1498	874	820	0.9	--	0	55	69.9	1e-11	length=1612 	Family:IS1182
ZS_10_scaffold46926_1	631	304	584	ISMma14	1529	1249	1529	1	--	0	281	557	1e-159	length=631 	Family:IS66
ZS_10_scaffold46926_1	631	1	241	ISMma14	1529	946	1186	1	--	0	241	478	1e-135	length=631 	Family:IS66
ZS_10_scaffold47048_1	503	1	503	TnAs3	18735	9590	10092	1	--	0	503	997	0.0	length=503 	Family:Tn3
ZS_10_scaffold47209_1	1426	1171	1420	ISPfr10	1247	1244	995	0.91	--	0	250	329	6e-90	length=1426 	Family:IS3
ZS_10_scaffold48007_1	1643	13	76	ISAzs17	7252	1735	1798	0.96	--	0	64	111	3e-24	length=1643 	Family:Tn3
ZS_10_scaffold48594_1	633	1	633	ISMco6	1306	467	1099	0.99	--	0	633	1239	0.0	length=633 	Family:ISAzo13
ZS_10_scaffold49110_1	809	753	809	ISPosp6	1026	137	81	0.91	--	0	57	73.8	3e-13	length=809 	Family:IS481
ZS_10_scaffold49146_1	900	3	110	TnAs2	8650	1080	1187	0.91	--	0	108	143	5e-34	length=900 	Family:Tn3
ZS_10_scaffold50033_2	937	5	68	ISSer1	1447	1320	1383	0.9	--	0	64	79.8	6e-15	length=937 	Family:IS110
ZS_10_scaffold51432_1	2523	64	116	ISAnsp8	1225	977	1029	0.9	--	0	53	65.9	3e-10	length=2523 	Family:IS3
ZS_10_scaffold51521_1	998	214	264	ISGdi14	1318	1107	1057	0.92	--	0	51	69.9	6e-12	length=998 	Family:IS3
ZS_10_scaffold52580_1	1275	556	609	ISMyma9	2162	2035	1982	0.9	--	0	54	67.9	3e-11	length=1275 	Family:IS21
ZS_10_scaffold52972_2	753	636	716	ISPfr16	1234	1024	1104	0.9	--	0	81	97.6	2e-20	length=753 	Family:IS30
ZS_10_scaffold53450_1	1447	1048	1097	ISPpu30	3000	2184	2233	0.92	--	0	50	67.9	4e-11	length=1447 	Family:IS66
ZS_10_scaffold53973_2	4687	2574	2656	Tn3	4948	1056	1138	1	--	0	83	165	7e-40	length=4687 	Family:Tn3
ZS_10_scaffold53973_2	4687	1652	1704	Tn3	4948	1	53	1	--	0	53	105	5e-22	length=4687 	Family:Tn3
ZS_10_scaffold553_3	1058	50	103	ISAzs17	7252	2297	2244	0.9	--	0	54	67.9	3e-11	length=1058 	Family:Tn3
ZS_10_scaffold6185_3	600	1	80	ISMpa1	1500	1127	1048	0.9	--	0	80	95.6	7e-20	length=600 	Family:IS110
ZS_10_scaffold8244_2	3111	1	277	IS15	1648	1197	1473	0.99	--	0	277	533	1e-151	length=3111 	Family:IS6
ZS_10_scaffold8244_2	3111	103	277	IS15	1648	1474	1648	0.99	--	0	175	339	1e-92	length=3111 	Family:IS6
ZS_10_scaffold8244_2	3111	1	110	IS15	1648	544	653	1	--	0	110	218	3e-56	length=3111 	Family:IS6
ZS_10_scaffold9835_2	1516	1	167	IS613	1595	167	1	0.91	--	0	167	242	1e-63	length=1516 	Family:IS1380
ZS_10_scaffold9964_2	554	426	499	ISAzo34	1439	1116	1189	0.91	--	0	74	99.6	4e-21	length=554 	Family:IS256
Query_id	Query_length	Query_start	Query_end	Subject_id	Subject_length	Subject_start	Subject_end	Identity	Positive	Gap	Align_length	Score	E_value	Query_annotation	Subject_annotation
ZS_12_C6781873_1	502	24	143	IS1355	970	18	137	0.9	--	0.01	121	129	4e-30	length=502 	Family:IS5
ZS_12_C6781997_1	502	414	463	ISMfu1	1293	410	361	0.92	--	0	50	67.9	1e-11	length=502 	Family:ISAzo13
ZS_12_C6783299_1	504	216	296	ISPkr1	2469	2232	2312	0.93	--	0	81	121	1e-27	length=504 	Family:IS21
ZS_12_C6801264_1	529	367	439	ISSpwi1	1269	356	284	0.9	--	0	73	89.7	4e-18	length=529 	Family:IS3
ZS_12_C6803070_1	532	474	532	ISMch1	1294	1028	970	0.91	--	0	59	77.8	1e-14	length=532 	Family:IS3
ZS_12_C6803842_1	533	6	533	ISPst13	1512	1	528	0.96	--	0	528	880	0.0	length=533 	Family:IS1182
ZS_12_C6807414_1	539	21	76	ISCARN30	832	176	231	0.91	--	0	56	71.9	8e-13	length=539 	Family:IS5
ZS_12_C6808176_1	540	416	483	ISCARN28	1419	1017	950	0.91	--	0	68	87.7	1e-17	length=540 	Family:IS110
ZS_12_C6809790_1	543	2	543	ISMco1	1296	1	542	0.98	--	0	542	1033	0.0	length=543 	Family:IS3
ZS_12_C6809862_1	543	435	491	ISMyma5	1838	764	820	0.94	--	0	57	89.7	4e-18	length=543 	Family:IS481
ZS_12_C6810418_1	544	133	192	ISMpo6	1593	1417	1476	0.91	--	0	60	79.8	4e-15	length=544 	Family:IS1182
ZS_12_C6812892_1	548	264	331	ISBcen18	1372	1118	1185	0.91	--	0	68	87.7	1e-17	length=548 	Family:IS256
ZS_12_C6814404_1	550	24	74	ISPfe2	1884	795	845	0.9	--	0	51	61.9	8e-10	length=550 	Family:IS1634
ZS_12_C6817126_1	555	238	408	ISTesp2	1397	1367	1197	0.91	--	0	171	220	2e-57	length=555 	Family:ISL3
ZS_12_C6820282_1	561	1	561	ISKpn23	1671	1	561	1	--	0	561	1112	0.0	length=561 	Family:IS1380
ZS_12_C6820994_1	562	1	562	TnAs3	18735	7309	7870	1	--	0	562	1114	0.0	length=562 	Family:Tn3
ZS_12_C6822794_1	566	163	248	ISMex37	1510	1165	1250	0.93	--	0	86	123	3e-28	length=566 	Family:IS3
ZS_12_C6822810_1	566	489	553	ISAzo41	1158	665	601	0.92	--	0	65	89.7	4e-18	length=566 	Family:IS5
ZS_12_C6824158_1	568	4	54	TnAs3	18735	2266	2216	0.9	--	0	51	61.9	9e-10	length=568 	Family:Tn3
ZS_12_C6824968_1	570	16	94	ISCc3	1514	1229	1151	0.92	--	0	79	109	4e-24	length=570 	Family:IS3
ZS_12_C6831380_1	583	327	383	ISAli4	1324	313	369	0.94	--	0	57	89.7	4e-18	length=583 	Family:IS3
ZS_12_C6832488_1	586	344	393	ISMno15	1561	476	525	0.94	--	0	50	75.8	6e-14	length=586 	Family:IS1182
ZS_12_C6835754_1	593	515	567	ISMex11	1227	309	257	0.9	--	0	53	65.9	6e-11	length=593 	Family:IS3
ZS_12_C6840100_1	603	408	461	ISPa11	1372	269	216	0.9	--	0	54	67.9	1e-11	length=603 	Family:IS110
ZS_12_C6840902_1	605	282	343	ISPse1	1653	312	251	0.9	--	0	62	75.8	6e-14	length=605 	Family:IS1182
ZS_12_C6840960_1	605	1	605	ISPa38	6455	5545	4941	0.99	--	0	605	1191	0.0	length=605 	Family:Tn3
ZS_12_C6842648_1	610	323	418	ISBj3	1284	310	405	0.9	--	0	96	119	5e-27	length=610 	Family:IS3
ZS_12_C6845356_1	617	240	306	ISBj3	1284	788	722	0.92	--	0	67	93.7	3e-19	length=617 	Family:IS3
ZS_12_C6847812_1	623	4	100	ISThsp4	1289	1201	1105	0.91	--	0	97	129	5e-30	length=623 	Family:IS3
ZS_12_C6848242_1	624	287	358	ISMex39	2456	2291	2220	0.9	--	0	72	87.7	2e-17	length=624 	Family:IS21
ZS_12_C6850144_1	630	462	515	ISBp1	1214	112	59	0.9	--	0	54	67.9	2e-11	length=630 	Family:IS3
ZS_12_C6851732_1	634	314	375	ISCARN95	2610	2357	2418	0.9	--	0	62	75.8	6e-14	length=634 	Family:IS21
ZS_12_C6853462_1	639	8	639	ISThph1	1674	1	632	0.98	--	0	632	1166	0.0	length=639 	Family:IS1182
ZS_12_C6855244_1	644	234	337	ISAzo19	2423	1532	1635	0.92	--	0	104	143	3e-34	length=644 	Family:IS66
ZS_12_C6856808_1	649	321	380	ISFlsp1	2669	1499	1439	0.93	--	0.01	61	81.8	1e-15	length=649 	Family:IS21
ZS_12_C6858182_1	653	547	596	IS1491	2481	1464	1415	0.9	--	0	50	60.0	4e-09	length=653 	Family:IS21
ZS_12_C6860318_1	660	485	545	IS868	1321	308	368	0.91	--	0	61	81.8	1e-15	length=660 	Family:IS3
ZS_12_C6861286_1	663	1	663	ISPst13	1512	811	1473	0.92	--	0	663	910	0.0	length=663 	Family:IS1182
ZS_12_C6865550_1	678	175	341	ISPa40	6592	40	206	0.91	--	0	167	220	2e-57	length=678 	Family:Tn3
ZS_12_C6865876_1	680	306	366	ISMex37	1510	1177	1237	0.93	--	0	61	89.7	5e-18	length=680 	Family:IS3
ZS_12_C6867572_1	686	602	662	ISBrsp9	1511	585	645	0.9	--	0	61	73.8	3e-13	length=686 	Family:IS1182
ZS_12_C6868386_1	689	557	608	ISSod18	1308	792	741	0.92	--	0	52	71.9	1e-12	length=689 	Family:IS256
ZS_12_C6872660_1	705	628	681	ISCARN10	660	607	660	0.92	--	0	54	75.8	7e-14	length=705 	Family:IS200/IS605
ZS_12_C6873272_1	707	2	707	ISCte2	1301	1	706	0.99	--	0	706	1358	0.0	length=707 	Family:IS3
ZS_12_C6879790_1	735	315	367	ISGdi14	1318	399	347	0.98	--	0	53	97.6	2e-20	length=735 	Family:IS3
ZS_12_C6879896_1	736	60	112	ISPa36	2468	643	591	0.92	--	0	53	73.8	3e-13	length=736 	Family:IS21
ZS_12_C6881850_1	745	68	127	ISSpma3	1269	77	136	0.91	--	0	60	79.8	5e-15	length=745 	Family:IS3
ZS_12_C6886995_1	774	722	774	ISCARN107	1172	642	590	0.96	--	0	53	89.7	5e-18	length=774 	Family:IS5
ZS_12_C6890371_1	793	373	457	ISRhsp7	1397	388	304	0.92	--	0	85	121	2e-27	length=793 	Family:IS5
ZS_12_C6891945_1	802	726	801	IS219	1654	360	286	0.92	--	0.01	76	95.6	9e-20	length=802 	Family:IS1380
ZS_12_C6896315_1	833	359	416	ISLxc1	3533	3089	3146	0.91	--	0	58	75.8	8e-14	length=833 	Family:IS21
ZS_12_C6899232_1	855	112	187	ISIde1	1448	353	428	0.92	--	0	76	103	4e-22	length=855 	Family:ISL3
ZS_12_C6899232_1	855	564	621	ISIde1	1448	802	859	0.91	--	0	58	75.8	9e-14	length=855 	Family:ISL3
ZS_12_C6899266_1	856	614	666	ISPpu17	1066	865	917	0.9	--	0	53	65.9	8e-11	length=856 	Family:IS30
ZS_12_C6901980_1	878	469	533	IS1419	1215	699	635	0.92	--	0	65	89.7	6e-18	length=878 	Family:IS481
ZS_12_C6902356_1	882	356	419	ISCARN30	832	482	419	0.92	--	0	64	87.7	2e-17	length=882 	Family:IS5
ZS_12_C6903384_1	892	513	573	ISRde2	1203	708	648	0.9	--	0	61	73.8	4e-13	length=892 	Family:IS3
ZS_12_C6904066_1	898	562	623	ISXo1	1156	607	546	0.95	--	0	62	99.6	6e-21	length=898 	Family:IS5
ZS_12_C6906016_1	918	1	130	ISAisp6	2657	130	1	0.9	--	0	130	168	8e-42	length=918 	Family:IS21
ZS_12_C6906598_1	924	224	294	ISAs7	1232	1054	984	0.9	--	0	71	85.7	1e-16	length=924 	Family:IS3
ZS_12_C6910166_1	963	426	479	ISAar39	1433	786	839	0.9	--	0	54	67.9	2e-11	length=963 	Family:ISL3
ZS_12_C6910324_1	966	541	602	ISThsp9	6215	5896	5957	0.91	--	0	62	83.8	4e-16	length=966 	Family:Tn3
ZS_12_C6911680_1	982	31	982	IS1396	1771	86	1037	0.99	--	0	952	1863	0.0	length=982 	Family:ISL3
ZS_12_C6912780_1	997	613	728	ISPa38	6455	4930	4815	0.93	--	0	116	167	4e-41	length=997 	Family:Tn3
ZS_12_C6913376_1	1005	1	1005	ISSpma2	1422	1111	107	1	--	0	1005	1992	0.0	length=1005 	Family:IS256
ZS_12_C6913570_1	1008	481	530	IS476	1226	979	1028	0.98	--	0	50	91.7	2e-18	length=1008 	Family:IS3
ZS_12_C6914152_1	1016	669	728	ISMch3	1510	1163	1222	0.93	--	0	60	87.7	3e-17	length=1016 	Family:IS3
ZS_12_C6915562_1	1036	154	211	ISAcp2	1025	881	824	0.91	--	0	58	75.8	1e-13	length=1036 	Family:IS481
ZS_12_C6915662_1	1037	153	209	ISCte4	1019	875	819	0.91	--	0	57	73.8	4e-13	length=1037 	Family:IS481
ZS_12_C6916664_1	1052	163	230	ISStma3	1023	856	789	0.91	--	0	68	87.7	3e-17	length=1052 	Family:IS481
ZS_12_C6917338_1	1064	399	469	ISCARN85	816	448	378	0.94	--	0	71	109	8e-24	length=1064 	Family:IS5
ZS_12_C6918096_1	1077	950	1003	ISAzo10	1669	1025	1078	0.9	--	0	54	67.9	3e-11	length=1077 	Family:IS3
ZS_12_C6919040_1	1095	569	618	ISRso5	1159	571	620	0.9	--	0	50	60.0	7e-09	length=1095 	Family:IS630
ZS_12_C6920296_1	1120	538	592	ISSpal2	1314	556	502	0.9	--	0	55	69.9	7e-12	length=1120 	Family:IS5
ZS_12_C6921336_1	1142	22	87	IS1090	1343	1096	1031	0.9	--	0	66	83.8	5e-16	length=1142 	Family:IS256
ZS_12_C6922026_1	1159	412	464	ISDar2	1322	1016	1068	0.92	--	0	53	73.8	5e-13	length=1159 	Family:IS4
ZS_12_C6922694_1	1176	914	963	ISStma12	1023	807	856	0.94	--	0	50	75.8	1e-13	length=1176 	Family:IS481
ZS_12_C6924140_1	1211	515	567	IS1051	1158	686	634	0.9	--	0	53	65.9	1e-10	length=1211 	Family:IS5
ZS_12_C6924936_1	1233	168	217	ISAtu5	1271	169	218	0.9	--	0	50	60.0	7e-09	length=1233 	Family:IS3
ZS_12_C6925618_1	1252	1000	1058	ISMmg1	1359	410	352	0.91	--	0	59	77.8	3e-14	length=1252 	Family:IS110
ZS_12_C6925756_1	1256	151	1256	TnAs1	6694	5345	6450	0.95	--	0	1106	1772	0.0	length=1256 	Family:Tn3
ZS_12_C6925890_1	1260	870	924	ISAnsp11	1510	691	745	0.9	--	0	55	69.9	8e-12	length=1260 	Family:IS3
ZS_12_C6926276_1	1272	1209	1269	ISAzo17	2095	1453	1513	0.9	--	0	61	73.8	5e-13	length=1272 	Family:IS21
ZS_12_C6926814_1	1290	821	870	ISFlsp1	2669	796	845	0.9	--	0	50	60.0	8e-09	length=1290 	Family:IS21
ZS_12_C6926920_1	1293	494	567	ISRso14	1234	434	507	0.9	--	0	74	91.7	2e-18	length=1293 	Family:IS3
ZS_12_C6927602_1	1316	462	518	ISRso8	1287	471	527	0.91	--	0	57	73.8	5e-13	length=1316 	Family:IS3
ZS_12_C6927754_1	1322	101	153	ISArsp6	26712	24566	24618	0.9	--	0	53	65.9	1e-10	length=1322 	Family:Tn3
ZS_12_C6928760_1	1360	378	439	ISGdi11	1200	988	927	0.9	--	0	62	75.8	1e-13	length=1360 	Family:IS3
ZS_12_C6930666_1	1442	347	435	ISAzs17	7252	3315	3403	0.91	--	0	89	113	7e-25	length=1442 	Family:Tn3
ZS_12_C6933258_1	1591	616	673	ISThsp13	1583	621	678	0.93	--	0	58	83.8	7e-16	length=1591 	Family:IS1380
ZS_12_C6933262_1	1591	533	585	ISAzs26	2226	1727	1675	0.9	--	0	53	65.9	2e-10	length=1591 	Family:ISKra4
ZS_12_C6933514_1	1607	711	761	ISMex8	2597	787	837	0.92	--	0	51	69.9	1e-11	length=1607 	Family:IS21
ZS_12_C6933932_1	1639	722	785	ISAde2	1498	882	819	0.93	--	0	64	95.6	2e-19	length=1639 	Family:IS1182
ZS_12_C6934134_1	1655	633	689	ISAav4	1308	1093	1037	0.91	--	0	57	73.8	7e-13	length=1655 	Family:IS3
ZS_12_C6934198_1	1661	484	536	ISPa7	1669	491	543	0.9	--	0	53	65.9	2e-10	length=1661 	Family:IS1182
ZS_12_C6935200_1	1746	654	709	ISPa42	16941	10623	10678	0.92	--	0	56	79.8	1e-14	length=1746 	Family:Tn3
ZS_12_C6936534_1	1873	301	374	ISSod17	1226	1047	974	0.91	--	0	74	99.6	1e-20	length=1873 	Family:IS3
ZS_12_C6937584_1	2024	729	790	ISMex14	1381	1167	1106	0.9	--	0	62	75.8	2e-13	length=2024 	Family:IS256
ZS_12_C6937872_1	2064	635	1611	ISVsa3	977	1	977	1	--	0	977	1937	0.0	length=2064 	Family:IS91
ZS_12_C6938220_1	2122	225	291	ISMex11	1227	1033	967	0.92	--	0	67	93.7	9e-19	length=2122 	Family:IS3
ZS_12_C6938414_1	2157	566	1984	IS1411	1419	1	1419	0.99	--	0	1419	2789	0.0	length=2157 	Family:ISL3
ZS_12_C6939098_1	2294	297	348	ISRasp1	1275	296	347	0.9	--	0	52	63.9	9e-10	length=2294 	Family:IS3
ZS_12_C6940044_1	2494	971	1020	ISRel8	3226	1472	1423	0.9	--	0	50	60.0	2e-08	length=2494 	Family:IS66
ZS_12_C6940318_1	2586	1810	1863	ISPst3	2606	721	668	0.92	--	0	54	75.8	3e-13	length=2586 	Family:IS21
ZS_12_C6940504_1	2651	1	2651	TnAs3	18735	4710	7355	0.99	--	0	2651	5208	0.0	length=2651 	Family:Tn3
ZS_12_C6940600_1	2682	2278	2486	ISPa63	2654	2144	2352	0.9	--	0	209	256	1e-67	length=2682 	Family:IS21
ZS_12_C6940936_1	2796	1157	1211	ISRme9	2688	1294	1348	0.92	--	0	55	77.8	7e-14	length=2796 	Family:IS21
ZS_12_C6941124_1	2872	1811	1863	ISRme9	2688	1348	1296	0.9	--	0	53	65.9	3e-10	length=2872 	Family:IS21
ZS_12_C6942174_1	3385	3245	3298	ISRso14	1234	1008	955	0.9	--	0	54	67.9	9e-11	length=3385 	Family:IS3
ZS_12_C6942338_1	3504	222	293	IS476	1226	1029	958	0.95	--	0	72	119	3e-26	length=3504 	Family:IS3
ZS_12_scaffold10245_1	813	577	629	ISAzo40	1694	1285	1337	0.92	--	0	53	73.8	3e-13	length=813 	Family:IS1380
ZS_12_scaffold1060_1	1554	73	123	ISMdi27	2476	470	520	0.92	--	0	51	69.9	1e-11	length=1554 	Family:IS21
ZS_12_scaffold10834_2	679	438	488	ISTni2	3451	1107	1157	0.9	--	0	51	61.9	1e-09	length=679 	Family:IS481
ZS_12_scaffold113_2	1506	898	959	ISAli4	1324	372	311	0.91	--	0	62	83.8	6e-16	length=1506 	Family:IS3
ZS_12_scaffold11845_1	79190	40666	40717	ISRta2	1386	430	379	0.9	--	0	52	63.9	3e-08	length=79190 	Family:IS256
ZS_12_scaffold11975_2	4516	219	286	TnAs2	8650	8151	8084	0.92	--	0	68	95.6	5e-19	length=4516 	Family:Tn3
ZS_12_scaffold120108_1	537	31	81	ISBmu1	2581	634	584	0.94	--	0	51	77.8	1e-14	length=537 	Family:IS21
ZS_12_scaffold12165_1	732	1	61	IS511	1266	182	242	0.93	--	0	61	89.7	5e-18	length=732 	Family:IS3
ZS_12_scaffold122123_2	841	8	841	ISTha4	1042	1042	209	0.99	--	0	834	1614	0.0	length=841 	Family:IS1595
ZS_12_scaffold1237_1	3631	2317	2386	ISMex39	2456	2226	2295	0.9	--	0	70	83.8	2e-15	length=3631 	Family:IS21
ZS_12_scaffold12750_1	2769	1005	1074	IS1416	1322	363	294	0.92	--	0	70	99.6	2e-20	length=2769 	Family:IS3
ZS_12_scaffold1338_3	5147	973	1041	ISMdi6	1466	471	539	0.91	--	0	69	89.7	4e-17	length=5147 	Family:IS1182
